INSTNM,CITY,STABBR,ZIP,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,BOOKSUPPLY,NPT4_PUB,NPT4_PRIV,PFTFAC,ADM_RATE,C100_4,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10
Alabama A & M University,Normal,AL,35762,1,23445.0,nan,10024.0,18634.0,nan,1600.0,15529.0,nan,0.996,0.8965,0.1052,28704.0,34422.0,36339.0
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,25542.0,nan,8568.0,20400.0,nan,1200.0,16530.0,nan,0.7619,0.806,0.3816,39271.0,44053.0,46990.0
Amridge University,Montgomery,AL,36117-3553,2,20100.0,nan,6950.0,6950.0,nan,900.0,nan,17618.0,1.0,nan,0.25,32939.0,36302.0,37895.0
University of Alabama in Huntsville,Huntsville,AL,35899,1,24861.0,nan,11338.0,23734.0,nan,2200.0,17208.0,nan,0.6702,0.7711,0.3109,47533.0,48947.0,54361.0
Alabama State University,Montgomery,AL,36104-0271,1,21892.0,nan,11068.0,19396.0,nan,1600.0,19534.0,nan,0.6797,0.9888,0.1462,25949.0,30193.0,32084.0
The University of Alabama,Tuscaloosa,AL,35487-0100,1,30016.0,nan,11620.0,31090.0,nan,1000.0,20917.0,nan,0.7707,0.8039,0.523,44485.0,47786.0,52751.0
Central Alabama Community College,Alexander City,AL,35010,1,9437.0,nan,4930.0,8860.0,nan,1000.0,3269.0,nan,0.4057,nan,nan,25657.0,29728.0,32503.0
Athens State University,Athens,AL,35611,1,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,38536.0,41117.0,42233.0
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,20225.0,nan,8860.0,18820.0,nan,1200.0,13678.0,nan,0.7087,0.9555,0.0953,33326.0,37310.0,41679.0
Auburn University,Auburn,AL,36849,1,32196.0,nan,11796.0,31956.0,nan,1200.0,24018.0,nan,0.8654,0.8507,0.5111,49695.0,53699.0,56933.0
Birmingham-Southern College,Birmingham,AL,35254,2,32514.0,nan,18900.0,18900.0,nan,1260.0,nan,19808.0,0.777,0.6045,0.6496,42523.0,48459.0,50775.0
Chattahoochee Valley Community College,Phenix City,AL,36869,1,10275.0,nan,4920.0,8910.0,nan,800.0,2652.0,nan,0.43,nan,nan,26888.0,29191.0,31254.0
South University-Montgomery,Montgomery,AL,36116,3,28761.0,nan,17014.0,17014.0,nan,1500.0,nan,20518.0,0.1408,nan,0.1176,26001.0,29995.0,36710.0
Enterprise State Community College,Enterprise,AL,36330-1300,1,9561.0,nan,4960.0,8950.0,nan,950.0,4142.0,nan,0.4779,nan,nan,32481.0,34679.0,37260.0
Coastal Alabama Community College,Bay Minette,AL,36507-2698,1,14915.0,nan,4860.0,8850.0,nan,1500.0,8924.0,nan,0.3704,nan,nan,26501.0,29783.0,32139.0
Faulkner University,Montgomery,AL,36109-3390,2,34835.0,nan,22990.0,22990.0,nan,1800.0,nan,20500.0,0.539,0.7576,0.1595,32902.0,35681.0,39437.0
Gadsden State Community College,Gadsden,AL,35903,1,10527.0,nan,3936.0,7128.0,nan,1600.0,4538.0,nan,0.5513,nan,nan,24906.0,28189.0,28950.0
New Beginning College of Cosmetology,Albertville,AL,35951,3,nan,16173.0,nan,nan,11040.0,nan,nan,12560.0,nan,nan,nan,16224.0,nan,nan
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,1,9990.0,nan,4800.0,8790.0,nan,1200.0,1384.0,nan,0.5882,nan,nan,24807.0,26752.0,29417.0
